,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Rayo Vallecano,Elche,1,2,1,7.0,6.6,1.75,3.40,5.25,52%,48%,10,7,"['Dimitrievski', 'Hernandez', 'Saveljich', 'Catena', 'Garcia', 'Palazon', 'Valentin', 'Comesana', 'Garcia', 'Trejo', 'Guardiola']","['Casilla', 'Palacios', 'Verdu', 'Bigas', 'Josema', 'Piatti', 'Mascarell', 'Gumbau', 'Fidel', 'Boye', 'Benedetto']",4 - 4 - 1 - 1,4 - 4 - 2
1,Celta Vigo,Sevilla,2,0,1,6.5,7.2,2.80,3.00,2.75,46%,54%,14,8,"['Dituro', 'Mallo', 'Aidoo', 'Murillo', 'Galan', 'Beltran', 'Mendez', 'Suarez', 'Nolito', 'Aspas', 'Mina']","['Bono', 'Navas', 'Fernando', 'Rekik', 'Augustinsson', 'Joan Jordan', 'Gudelj', 'Rakitic', 'Ocampos', 'Mir', 'Torres']",4 - 1 - 3 - 2,4 - 3 - 3
2,Villarreal,Osasuna,2,1,2,6.6,7.0,1.53,4.00,6.50,73%,27%,11,6,"['Rulli', 'Foyth', 'Mandi', 'Torres', 'Moreno', 'Parejo', 'Capoue', 'Trigueros', 'Pino', 'Moreno', 'Danjuma']","['Herrera', 'Vidal', 'Garcia', 'Garcia', 'Cruz', 'Sanchez', 'Moncayola', 'Torro', 'Brasanac', 'Garcia', 'Garcia']",4 - 3 - 3,5 - 3 - 2
3,Barcelona,Valencia,1,3,1,7.2,6.4,1.50,4.50,6.00,61%,39%,12,9,"['ter Stegen', 'Roberto', 'Pique', 'Garcia', 'Alba', 'de Jong', 'Busquets', 'Gavi', 'Dest', 'Depay', 'Fati']","['Cillessen', 'Foulquier', 'Gabriel Paulista', 'Diakhaby', 'Gaya', 'Guillamon', 'Duro', 'Soler', 'Wass', 'Guedes', 'Gomez']",4 - 3 - 3,4 - 1 - 4 - 1
4,Alaves,Betis,2,0,1,6.7,7.4,3.60,3.30,2.10,36%,64%,14,19,"['Pacheco', 'Miazga', 'Laguardia', 'Duarte', 'Navarro', 'Moya', 'Pina', 'Rioja', 'Pellistri', 'de la Fuente', 'Joselu']","['Silva', 'Bellerin', 'Bartra', 'Gonzalez', 'Moreno', 'Carvalho', 'Guardado', 'Rodri', 'Fekir', 'Canales', 'Willian Jose']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
5,Espanyol,Cadiz CF,1,2,0,7.3,6.6,1.65,3.50,6.00,54%,46%,14,13,"['Lopez', 'Gil', 'Gomez', 'Cabrera', 'Pedrosa', 'Embarba', 'Lopez', 'Darder', 'Melendo', 'Moron', 'de Tomas']","['Ledesma', 'Carcelen', 'Haroyan', 'Chust', 'Pacha', 'Fali', 'Sanchez', 'Jonsson', 'Alarcon', 'Sobrino', 'Lozano']",4 - 4 - 2,4 - 1 - 4 - 1
6,Osasuna,Granada CF,0,1,1,7.0,6.9,1.65,3.60,6.00,42%,58%,17,9,"['Herrera', 'Vidal', 'Garcia', 'Garcia', 'Cote', 'Torro', 'Torres', 'Sanjurjo', 'Brasanac', 'Garcia', 'Avila']","['Maximiano', 'Quini', 'Diaz', 'Abram', 'Neva', 'Rochina', 'Milla', 'Gonalons', 'Machis', 'Bacca', 'Suarez']",4 - 1 - 4 - 1,4 - 3 - 3
7,Valencia,Mallorca,0,2,2,7.0,6.9,1.72,3.50,5.00,73%,27%,20,9,"['Cillessen', 'Foulquier', 'Gabriel Paulista', 'Diakhaby', 'Gaya', 'Costa', 'Racic', 'Wass', 'Duro', 'Gomez', 'Guedes']","['Reina', 'Maffeo', 'Valjent', 'Russo', 'Olivan', 'Baba', 'Ruiz de Galarreta', 'Sanchez', 'Lee', 'Rodriguez', 'Rodriguez']",4 - 4 - 2,4 - 2 - 3 - 1
8,Cadiz CF,Alaves,2,0,2,6.6,7.4,2.45,2.90,3.25,61%,39%,23,8,"['Ledesma', 'Carcelen', 'Haroyan', 'Chust', 'Pacha', 'Sanchez', 'Fali', 'Alarcon', 'Perea', 'Negredo', 'Sobrino']","['Pacheco', 'Navarro', 'Miazga', 'Laguardia', 'Duarte', 'Loum', 'Moya', 'Pellistri', 'Garcia', 'Rioja', 'Joselu']",4 - 4 - 2,4 - 2 - 3 - 1
9,Elche,Espanyol,0,2,2,6.9,7.0,2.45,3.00,3.20,58%,42%,17,22,"['Casilla', 'Barragan', 'Verdu', 'Bigas', 'Mojica', 'Guti', 'Mascarell', 'Fidel', 'Pastore', 'Perez', 'Boye']","['Lopez', 'Gil', 'Gomez', 'Cabrera', 'Pedrosa', 'Lopez', 'Darder', 'Embarba', 'Melendo', 'Wu', 'de Tomas']",4 - 2 - 2 - 2,4 - 2 - 3 - 1
10,Ath Bilbao,Villarreal,1,2,1,7.1,6.8,2.30,3.20,3.20,52%,48%,14,11,"['Simon', 'Lekue', 'Vivian', 'Martinez', 'Balenziaga', 'Berenguer', 'Vencedor', 'Garcia', 'Muniain', 'Williams', 'Garcia']","['Rulli', 'Foyth', 'Albiol', 'Torres', 'Estupinan', 'Pino', 'Parejo', 'Capoue', 'Coquelin', 'Moreno', 'Danjuma']",4 - 4 - 2,4 - 4 - 2
11,Sevilla,Levante,1,5,3,7.4,6.6,1.45,4.33,7.50,61%,39%,18,11,"['Dmitrovic', 'Navas', 'Kounde', 'Diego Carlos', 'Augustinsson', 'Fernando', 'Delaney', 'Suso', 'Torres', 'Munir El Haddadi', 'Mir']","['Fernandez', 'Miramon', 'Mustafi', 'Vezo', 'Clerc', 'de Frutos', 'Melero', 'Radoja', 'Martinez Andres', 'Soldado', 'Morales']",4 - 2 - 3 - 1,4 - 4 - 2
12,Barcelona,Real Madrid,2,1,2,6.6,7.1,2.37,3.60,2.80,52%,48%,12,10,"['ter Stegen', 'Mingueza', 'Garcia', 'Pique', 'Alba', 'Gavi', 'Busquets', 'de Jong', 'Dest', 'Fati', 'Depay']","['Courtois', 'Vazquez', 'Militao', 'Alaba', 'Mendy', 'Modric', 'Casemiro', 'Kroos', 'Rodrygo', 'Benzema', 'Vinicius Junior']",4 - 3 - 3,4 - 3 - 3
13,Betis,Rayo Vallecano,1,3,2,7.3,6.5,1.75,3.75,4.50,46%,54%,11,14,"['Bravo', 'Bellerin', 'Bartra', 'Gonzalez', 'Moreno', 'Rodriguez', 'Canales', 'Rodri', 'Fekir', 'Juanmi', 'Willian Jose']","['Dimitrievski', 'Hernandez', 'Maras', 'Catena', 'Garcia', 'Ciss', 'Lopez', 'Balliu', 'Trejo', 'Garcia', 'Nteka']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
14,Atl. Madrid,Real Sociedad,0,2,2,7.1,6.8,1.65,3.75,5.50,56%,44%,17,8,"['Oblak', 'Trippier', 'Felipe', 'Hermoso', 'Lodi', 'de Paul', 'Koke', 'Lemar', 'Griezmann', 'Suarez', 'Joao Felix']","['Remiro', 'Elustondo', 'Le Normand', 'Zubeldia', 'Zaldua', 'Guevara', 'Merino', 'Gorosabel', 'Silva', 'Isak', 'Sorloth']",4 - 3 - 3,3 - 4 - 1 - 2
15,Getafe,Celta Vigo,2,0,3,6.3,7.6,2.60,3.00,3.00,34%,66%,11,18,"['Soria', 'Suarez', 'Djene', 'Cuenca', 'Olivera', 'Arambarri', 'Florentino', 'Timor', 'Alena', 'Maksimovic', 'Ramirez']","['Dituro', 'Mallo', 'Aidoo', 'Murillo', 'Galan', 'Beltran', 'Mendez', 'Suarez', 'Nolito', 'Mina', 'Aspas']",4 - 4 - 1 - 1,4 - 1 - 3 - 2
